Var1,Var2,Var3,Var4
41,"horse",-0.335792345,global
41,"sunny",-0.333986575,global
41,"green",-0.33308369,global
41,"pasture",0.498271208,specific
41,"farm",0.499174093,specific
41,"cow",0.999251071,specific
50,"market",-0.667698936,global
50,"woman",-0.264234732,global
50,"person",-0.111601847,global
50,"apple",0.163573881,specific
50,"fruit",0.490721644,specific
50,"shop",0.643354528,specific
56,"people",-0.328105368,global
56,"city",-0.202416106,global
56,"skyline",-0.164463086,global
56,"daytime",0.277501341,specific
56,"water",0.368520801,specific
56,"tree",0.416662414,specific
63,"animal",-0.500979863,global
63,"rhino",-0.333986575,global
63,"grey",-0.166993288,global
63,"family",0.33308369,specific
63,"water",0.664361611,specific
63,"hippo",0.834063553,specific
69,"people",-0.169701942,global
69,"daytime",-0.166993288,global
69,"group",-0.166993288,global
69,"couple",0.33488946,specific
69,"love",0.499174093,specific
69,"statue",0.66616738,specific
84,"blue",-0.167896173,global
84,"beach",-0.165187518,global
84,"ocean",-0.00180577,global
84,"calm",0.33308369,specific
84,"light",0.33308369,specific
84,"water",0.832257783,specific
85,"sunny",-0.33308369,global
85,"boat",-0.166993288,global
85,"grass",-0.166993288,global
85,"bright",0.33308369,specific
85,"satellite",0.499174093,specific
85,"sky",0.500076978,specific
97,"volcano",-0.33308369,global
97,"flame",-0.168799057,global
97,"plasma",-0.166993288,global
97,"burn",0.33308369,specific
97,"fire",0.499174093,specific
97,"lava",0.499174093,specific
104,"forest",-0.694751999,global
104,"sky",-0.417031777,global
104,"tree",-0.416279372,global
104,"farm",0.27907455,specific
104,"animal",0.279676473,specific
104,"goat",0.416580334,specific
109,"stand",-0.33488946,global
109,"person",-0.33308369,global
109,"outside",-0.166993288,global
109,"vest",0.333986575,specific
109,"water",0.498271208,specific
109,"hose",0.997445301,specific
113,"woman",-0.333986575,global
113,"artwork",-0.33308369,global
113,"musuem",-0.167896173,global
113,"art",0.33127792,specific
113,"people",0.496465438,specific
113,"gallery",0.501882748,specific
126,"write",-0.333986575,global
126,"paper",-0.33127792,global
126,"girl",-0.168799057,global
126,"desk",0.33488946,specific
126,"pen",0.33488946,specific
126,"study",0.661652956,specific
151,"religion",-0.169701942,global
151,"kneel",-0.168799057,global
151,"worship",-0.166993288,global
151,"man",0.500979863,specific
151,"pray",0.500979863,specific
151,"muslim",0.665264496,specific
177,"cap",-0.348921542,global
177,"water",-0.33300161,global
177,"sport",-0.18118953,global
177,"male",0.150991275,specific
177,"golf",0.255864363,specific
177,"swing",0.302803355,specific
183,"people",-0.31325,global
183,"market",-0.173526175,global
183,"daytime",-0.151743679,global
183,"city",0.359072205,specific
183,"bus",0.383864317,specific
183,"crowd",0.500300838,specific
205,"stand",-0.356602533,global
205,"boy",-0.238710667,global
205,"school",-0.120918019,global
205,"speak",0.119925838,specific
205,"talk",0.236974349,specific
205,"people",0.595660463,specific
221,"street",-0.662555841,global
221,"road",-0.167896173,global
221,"sidewalk",-0.166993288,global
221,"busy",0.33308369,specific
221,"car",0.499174093,specific
221,"corner",0.501882748,specific
229,"money",-0.237966531,global
229,"metal",-0.119330529,global
229,"box",0.000595309,specific
229,"machine",0.357148232,specific
229,"switch",0.476379543,specific
